id;subject;student_id;teacher_id;att1;att2;exam;total
271;1;181025;5;7;9;18;34
272;1;151418;6;6;19;49;74
273;1;180224;9;8;10;35;53
274;1;180722;3;13;17;11;41
275;1;180425;10;14;9;28;51
276;1;180521;3;15;9;51;75
277;1;180621;1;20;16;53;89
278;1;180124;1;16;8;9;33
279;1;180325;8;5;16;57;78
280;1;151419;6;9;8;26;43
281;1;180723;3;5;9;11;25
282;1;180823;4;10;17;28;55
283;1;180125;1;18;19;60;97
284;1;151518;8;12;8;60;80
285;1;180522;3;18;9;15;42
286;1;180622;1;8;13;25;46
287;1;180523;3;14;15;6;35
288;1;180225;9;9;20;16;45
289;1;180524;3;6;7;8;21
290;1;180126;1;10;6;53;69
291;1;180326;8;6;13;38;57
292;1;180724;3;5;9;26;40
293;1;151318;7;19;19;40;78
294;1;180127;1;6;19;51;76
295;1;180426;10;6;12;7;25
296;1;180824;4;19;17;53;89
297;1;180825;4;12;17;52;81
298;1;180525;3;7;18;26;51
299;1;180526;3;13;7;23;43
300;1;180623;1;10;19;31;60
301;1;180624;1;6;13;16;35
302;2;151301;5;8;18;36;62
303;2;180101;2;16;6;26;48
304;2;180501;5;11;13;20;44
305;2;180701;1;10;14;41;65
306;2;180201;7;6;10;39;55
307;2;180301;7;19;18;50;87
308;2;151501;11;18;17;42;77
309;2;170901;7;20;19;48;87
310;2;151302;5;8;20;36;64
311;2;180801;10;13;12;31;56
312;2;181001;8;19;6;36;61
313;2;180102;2;7;20;53;80
314;2;180401;4;6;12;41;59
315;2;180502;5;20;9;31;60
316;2;180202;7;18;11;11;40
317;2;180302;7;9;11;44;64
318;2;180601;3;14;18;59;91
319;2;180303;7;11;5;16;32
320;2;180402;4;15;20;52;87
321;2;180702;1;15;18;19;52
322;2;180103;2;14;13;18;45
323;2;170902;7;10;10;19;39
324;2;180203;7;7;6;9;22
325;2;180802;10;13;16;12;41
326;2;180503;5;5;18;25;48
327;2;180304;7;15;9;20;44
328;2;180403;4;13;11;22;46
329;2;180602;3;8;10;48;66
330;2;180703;1;12;7;39;58
331;2;151401;8;19;5;33;57
332;2;180104;2;14;14;53;81
333;2;170903;7;13;7;45;65
334;2;180105;2;16;5;47;68
335;2;180204;7;19;18;22;59
336;2;180305;7;18;12;19;49
337;2;170904;7;16;9;33;58
338;2;180404;4;15;14;53;82
339;2;180106;2;15;7;21;43
340;2;151303;5;5;18;30;53
341;2;181002;8;6;12;47;65
342;2;180704;1;15;11;37;63
343;2;151402;8;14;19;38;71
344;2;180504;5;18;10;59;87
345;2;151304;5;18;11;28;57
346;2;151502;11;8;10;7;25
347;2;180705;1;11;11;7;29
348;2;180603;3;20;12;48;80
349;2;180803;10;8;14;18;40
350;2;180306;7;12;5;37;54
351;2;151503;11;10;11;52;73
352;2;180205;7;11;20;47;78
353;2;170905;7;13;18;17;48
354;2;181003;8;19;8;16;43
355;2;180405;4;10;16;27;53
356;2;151305;5;19;17;48;84
357;2;180307;7;12;18;21;51
358;2;181004;8;5;12;9;26
359;2;180406;4;14;14;29;57
360;2;180505;5;20;16;21;57
361;2;170906;7;14;11;59;84
362;2;180604;3;10;12;47;69
363;2;180308;7;15;11;32;58
364;2;151403;8;10;18;27;55
365;2;180206;7;14;16;54;84
366;2;180407;4;15;8;8;31
367;2;180706;1;9;12;16;37
368;2;180107;2;20;10;12;42
369;2;180804;10;8;14;56;78
370;2;180207;7;19;20;44;83
371;2;151504;11;5;7;8;20
372;2;180408;4;17;14;7;38
373;2;170907;7;5;11;21;37
374;2;180108;2;17;9;7;33
375;2;180309;7;18;7;32;57
376;2;181005;8;12;12;14;38
377;2;180605;3;7;14;36;57
378;2;180109;2;16;16;43;75
379;2;151306;5;19;8;35;62
380;2;180707;1;11;18;23;52
381;2;180110;2;11;18;41;70
382;2;180409;4;9;10;50;69
383;2;170908;7;6;9;46;61
384;2;180506;5;12;12;45;69
385;2;180606;3;5;7;24;36
386;2;151404;8;10;20;7;37
387;2;180805;10;16;6;39;61
388;2;151505;11;8;15;38;61
389;2;180410;4;8;14;47;69
390;2;151307;5;9;9;39;57
391;2;180310;7;20;8;40;68
392;2;170909;7;10;14;24;48
393;2;181006;8;6;8;37;51
394;2;180111;2;16;14;42;72
395;2;170910;7;5;16;8;29
396;2;151506;11;5;15;52;72
397;2;180311;7;7;10;22;39
398;2;180112;2;18;19;56;93
399;2;180708;1;17;20;19;56
400;2;180507;5;7;12;24;43
401;2;180607;3;9;12;14;35
402;2;180709;1;18;5;39;62
403;2;180806;10;16;14;46;76
404;2;181007;8;11;5;37;53
405;2;180411;4;11;20;57;88
406;2;180208;7;14;20;18;52
407;2;180312;7;20;15;51;86
408;2;180412;4;15;11;53;79
409;2;180113;2;16;11;60;87
410;2;181008;8;6;15;21;42
411;2;180508;5;9;16;49;74
412;2;151308;5;11;16;10;37
413;2;151405;8;8;9;41;58
414;2;180608;3;16;9;38;63
415;2;151507;11;20;12;56;88
416;2;180209;7;5;16;30;51
417;2;180313;7;8;18;27;53
418;2;180413;4;16;8;39;63
419;2;180114;2;19;20;30;69
420;2;180210;7;6;19;60;85
421;2;180710;1;13;18;34;65
422;2;180807;10;18;12;36;66
423;2;180211;7;7;15;51;73
424;2;180115;2;7;13;54;74
425;2;180212;7;17;11;60;88
426;2;180414;4;13;9;53;75
427;2;180314;7;6;19;52;77
428;2;180213;7;17;14;41;72
429;2;181009;8;8;7;29;44
430;2;180509;5;14;12;26;52
431;2;180808;10;17;5;17;39
432;2;180415;4;6;14;29;49
433;2;180609;3;15;14;9;38
434;2;151406;8;5;5;46;56
435;2;151508;11;18;19;34;71
436;2;180116;2;6;18;17;41
437;2;180315;7;15;17;53;85
438;2;181010;8;17;11;40;68
439;2;180416;4;11;14;29;54
440;2;180117;2;16;19;36;71
441;2;170911;7;7;17;30;54
442;2;180610;3;17;15;10;42
443;2;170912;7;6;12;29;47
444;2;180711;1;19;13;48;80
445;2;170913;7;17;5;39;61
446;2;180809;10;18;14;30;62
447;2;181011;8;9;7;58;74
448;2;170914;7;10;20;51;81
449;2;180214;7;9;10;21;40
450;2;180316;7;13;5;32;50
451;2;170915;7;12;15;34;61
452;2;151309;5;10;10;37;57
453;2;151407;8;19;18;27;64
454;2;180510;5;12;19;43;74
455;2;151509;11;8;16;8;32
456;2;151310;5;7;13;38;58
457;2;180215;7;20;17;57;94
458;2;180611;3;6;20;47;73
459;2;180712;1;15;5;58;78
460;2;180810;10;11;11;13;35
461;2;181012;8;16;7;30;53
462;2;180417;4;15;6;32;53
463;2;151408;8;5;9;23;37
464;2;181013;8;6;6;44;56
465;2;151510;11;5;14;55;74
466;2;151311;5;5;12;13;30
467;2;180811;10;17;13;37;67
468;2;180511;5;10;16;21;47
469;2;151409;8;5;10;52;67
470;2;180612;3;11;18;10;39
471;2;170916;7;5;8;46;59
472;2;180713;1;12;14;24;50
473;2;180812;10;5;14;43;62
474;2;180118;2;7;10;7;24
475;2;181014;8;10;7;6;23
476;2;180418;4;14;8;11;33
477;2;181015;8;13;16;55;84
478;2;180613;3;9;14;10;33
479;2;151410;8;10;12;21;43
480;2;180714;1;5;5;15;25
481;2;180813;10;12;9;51;72
482;2;180317;7;19;15;26;60
483;2;170917;7;7;18;55;80
484;2;180512;5;19;16;38;73
485;2;151312;5;18;7;60;85
486;2;170918;7;15;13;57;85
487;2;180216;7;8;18;12;38
488;2;151411;8;13;12;16;41
489;2;151511;11;16;12;10;38
490;2;180419;4;8;16;6;30
491;2;151512;11;8;17;47;72
492;2;180614;3;16;12;19;47
493;2;180715;1;5;13;25;43
494;2;180513;5;11;5;35;51
495;2;151313;5;20;19;41;80
496;2;180615;3;20;14;34;68
497;2;180716;1;10;11;38;59
498;2;180814;10;8;16;59;83
499;2;180318;7;10;16;31;57
500;2;180616;3;17;17;15;49
501;2;181016;8;5;11;51;67
502;2;180119;2;7;10;33;50
503;2;151412;8;6;7;60;73
504;2;180420;4;20;14;14;48
505;2;180319;7;11;9;30;50
506;2;180717;1;14;19;24;57
507;2;151413;8;10;17;27;54
508;2;180815;10;7;13;49;69
509;2;151513;11;11;5;27;43
510;2;181017;8;12;7;22;41
511;2;181018;8;13;9;43;65
512;2;151514;11;12;20;37;69
513;2;180120;2;7;13;52;72
514;2;180617;3;15;10;32;57
515;2;180718;1;10;12;46;68
516;2;180816;10;5;11;40;56
517;2;180514;5;10;19;17;46
518;2;180421;4;8;12;57;77
519;2;180618;3;15;17;32;64
520;2;151515;11;12;13;11;36
521;2;151314;5;19;16;35;70
522;2;180217;7;16;16;11;43
523;2;180320;7;5;6;54;65
524;2;180121;2;13;16;43;72
525;2;181019;8;15;6;12;33
526;2;151414;8;11;20;58;89
527;2;180122;2;11;6;37;54
528;2;180218;7;12;10;12;34
529;2;180515;5;16;11;50;77
530;2;180321;7;18;13;24;55
531;2;180219;7;11;6;49;66
532;2;180422;4;19;14;24;57
533;2;180719;1;19;6;44;69
534;2;180817;10;14;14;36;64
535;2;181020;8;20;5;49;74
536;2;180220;7;15;11;30;56
537;2;181021;8;19;18;27;64
538;2;151415;8;20;11;16;47
539;2;180322;7;8;11;27;46
540;2;180516;5;18;13;14;45
541;2;180619;3;11;16;33;60
542;2;180720;1;18;6;50;74
543;2;180818;10;13;10;25;48
544;2;181022;8;19;5;53;77
545;2;180819;10;6;14;16;36
546;2;151315;5;16;12;27;55
547;2;180517;5;7;19;46;72
548;2;151416;8;14;16;34;64
549;2;180518;5;6;10;17;33
550;2;151516;11;6;18;40;64
551;2;180423;4;17;16;19;52
552;2;151316;5;16;14;59;89
553;2;151417;8;6;8;21;35
554;2;180221;7;18;9;54;81
555;2;151517;11;8;15;52;75
556;2;180323;7;19;19;21;59
557;2;180820;10;20;18;25;63
558;2;180222;7;16;9;9;34
559;2;181023;8;5;18;8;31
560;2;181024;8;8;8;56;72
561;2;180821;10;5;8;35;48
562;2;151317;5;8;16;48;72
563;2;180519;5;16;6;15;37
564;2;180123;2;6;19;39;64
565;2;180620;3;14;13;13;40
566;2;180424;4;10;20;58;88
567;2;180223;7;8;6;57;71
568;2;180721;1;7;14;57;78
569;2;180324;7;20;17;49;86
570;2;180520;5;16;7;53;76
571;2;180822;10;17;11;12;40
572;2;181025;8;20;13;38;71
573;2;151418;8;5;16;8;29
574;2;180224;7;6;11;17;34
575;2;180722;1;11;17;51;79
576;2;180425;4;5;9;25;39
577;2;180521;5;7;18;54;79
578;2;180621;3;6;13;18;37
579;2;180124;2;16;5;34;55
580;2;180325;7;8;14;44;66
581;2;151419;8;20;6;20;46
582;2;180723;1;17;7;12;36
583;2;180823;10;16;17;10;43
584;2;180125;2;12;19;30;61
585;2;151518;11;20;10;15;45
586;2;180522;5;9;17;33;59
587;2;180622;3;16;14;27;57
588;2;180523;5;9;5;5;19
589;2;180225;7;16;11;46;73
590;2;180524;5;11;17;50;78
591;2;180126;2;8;13;51;72
592;2;180326;7;15;12;5;32
593;2;180724;1;13;13;50;76
594;2;151318;5;9;7;27;43
595;2;180127;2;16;19;16;51
596;2;180426;4;13;17;23;53
597;2;180824;10;10;14;46;70
598;2;180825;10;14;9;37;60
599;2;180525;5;8;8;60;76
600;2;180526;5;8;13;58;79
601;2;180623;3;12;5;57;74
602;2;180624;3;9;5;48;62
603;3;151301;6;10;10;38;58
604;3;180101;4;15;19;56;90
605;3;180501;4;7;6;47;60
606;3;180701;3;20;9;50;79
607;3;180201;5;16;12;32;60
608;3;180301;11;18;18;32;68
609;3;151501;6;20;20;52;92
610;3;170901;9;14;17;39;70
611;3;151302;6;20;7;45;72
612;3;180801;8;10;5;60;75
613;3;181001;1;20;12;47;79
614;3;180102;4;18;19;38;75
615;3;180401;3;7;13;20;40
616;3;180502;4;14;16;49;79
617;3;180202;5;19;17;8;44
618;3;180302;11;18;20;11;49
619;3;180601;5;6;5;45;56
620;3;180303;11;17;6;17;40
621;3;180402;3;17;9;31;57
622;3;180702;3;17;16;11;44
623;3;180103;4;8;17;17;42
624;3;170902;9;18;16;54;88
625;3;180203;5;10;7;43;60
626;3;180802;8;14;18;28;60
627;3;180503;4;14;14;41;69
628;3;180304;11;7;10;30;47
629;3;180403;3;11;8;46;65
630;3;180602;5;8;15;25;48
631;3;180703;3;11;16;5;32
632;3;151401;2;18;14;26;58
633;3;180104;4;15;9;49;73
634;3;170903;9;20;19;6;45
635;3;180105;4;7;7;42;56
636;3;180204;5;7;10;21;38
637;3;180305;11;14;9;22;45
638;3;170904;9;10;10;43;63
639;3;180404;3;16;6;35;57
640;3;180106;4;17;19;54;90
641;3;151303;6;13;5;35;53
642;3;181002;1;13;5;24;42
643;3;180704;3;9;20;56;85
644;3;151402;2;17;13;59;89
645;3;180504;4;17;11;12;40
646;3;151304;6;14;6;30;50
647;3;151502;6;6;6;59;71
648;3;180705;3;6;13;54;73
649;3;180603;5;9;6;47;62
650;3;180803;8;6;18;14;38
651;3;180306;11;14;19;34;67
652;3;151503;6;20;20;31;71
653;3;180205;5;5;7;50;62
654;3;170905;9;16;13;9;38
655;3;181003;1;12;19;55;86
656;3;180405;3;11;10;18;39
657;3;151305;6;10;15;22;47
658;3;180307;11;12;18;19;49
659;3;181004;1;18;9;20;47
660;3;180406;3;17;17;32;66
661;3;180505;4;20;20;54;94
662;3;170906;9;7;7;21;35
663;3;180604;5;20;20;41;81
664;3;180308;11;17;5;38;60
665;3;151403;2;9;9;52;70
666;3;180206;5;7;10;46;63
667;3;180407;3;11;8;56;75
668;3;180706;3;9;16;32;57
669;3;180107;4;12;14;45;71
670;3;180804;8;16;6;22;44
671;3;180207;5;17;11;12;40
672;3;151504;6;20;7;15;42
673;3;180408;3;16;20;46;82
674;3;170907;9;18;18;10;46
675;3;180108;4;9;14;45;68
676;3;180309;11;9;20;28;57
677;3;181005;1;6;6;25;37
678;3;180605;5;20;8;54;82
679;3;180109;4;11;18;57;86
680;3;151306;6;5;8;53;66
681;3;180707;3;7;8;46;61
682;3;180110;4;5;15;51;71
683;3;180409;3;16;10;16;42
684;3;170908;9;16;17;39;72
685;3;180506;4;18;13;38;69
686;3;180606;5;18;10;11;39
687;3;151404;2;13;11;15;39
688;3;180805;8;12;17;5;34
689;3;151505;6;16;7;12;35
690;3;180410;3;17;15;28;60
691;3;151307;6;14;10;53;77
692;3;180310;11;13;13;30;56
693;3;170909;9;14;9;18;41
694;3;181006;1;18;16;51;85
695;3;180111;4;19;13;15;47
696;3;170910;9;20;13;30;63
697;3;151506;6;17;13;26;56
698;3;180311;11;13;6;56;75
699;3;180112;4;18;14;12;44
700;3;180708;3;15;19;39;73
701;3;180507;4;10;7;10;27
702;3;180607;5;7;16;48;71
703;3;180709;3;13;19;27;59
704;3;180806;8;13;9;7;29
705;3;181007;1;15;19;12;46
706;3;180411;3;12;13;42;67
707;3;180208;5;6;18;38;62
708;3;180312;11;13;19;33;65
709;3;180412;3;6;16;53;75
710;3;180113;4;8;14;56;78
711;3;181008;1;14;17;44;75
712;3;180508;4;6;15;5;26
713;3;151308;6;18;16;11;45
714;3;151405;2;13;20;36;69
715;3;180608;5;12;9;41;62
716;3;151507;6;6;9;20;35
717;3;180209;5;9;14;31;54
718;3;180313;11;5;15;40;60
719;3;180413;3;5;20;50;75
720;3;180114;4;14;9;33;56
721;3;180210;5;15;18;30;63
722;3;180710;3;17;18;56;91
723;3;180807;8;18;15;27;60
724;3;180211;5;8;19;8;35
725;3;180115;4;9;12;56;77
726;3;180212;5;19;15;32;66
727;3;180414;3;19;15;13;47
728;3;180314;11;16;15;30;61
729;3;180213;5;12;17;48;77
730;3;181009;1;5;12;15;32
731;3;180509;4;9;17;35;61
732;3;180808;8;19;8;46;73
733;3;180415;3;16;8;5;29
734;3;180609;5;5;14;18;37
735;3;151406;2;20;11;24;55
736;3;151508;6;8;6;54;68
737;3;180116;4;18;20;28;66
738;3;180315;11;17;6;27;50
739;3;181010;1;10;8;48;66
740;3;180416;3;5;15;43;63
741;3;180117;4;11;10;40;61
742;3;170911;9;5;9;45;59
743;3;180610;5;7;11;42;60
744;3;170912;9;17;8;29;54
745;3;180711;3;8;18;46;72
746;3;170913;9;14;14;49;77
747;3;180809;8;11;5;52;68
748;3;181011;1;9;9;39;57
749;3;170914;9;17;10;31;58
750;3;180214;5;11;19;31;61
751;3;180316;11;8;17;55;80
752;3;170915;9;5;8;44;57
753;3;151309;6;19;7;47;73
754;3;151407;2;9;5;15;29
755;3;180510;4;19;11;45;75
756;3;151509;6;14;15;55;84
757;3;151310;6;9;5;28;42
758;3;180215;5;17;14;38;69
759;3;180611;5;8;6;48;62
760;3;180712;3;6;18;21;45
761;3;180810;8;13;7;11;31
762;3;181012;1;16;10;16;42
763;3;180417;3;19;13;35;67
764;3;151408;2;6;20;30;56
765;3;181013;1;8;18;59;85
766;3;151510;6;17;9;58;84
767;3;151311;6;8;13;24;45
768;3;180811;8;15;5;18;38
769;3;180511;4;13;10;6;29
770;3;151409;2;17;15;11;43
771;3;180612;5;16;10;56;82
772;3;170916;9;7;16;37;60
773;3;180713;3;13;19;15;47
774;3;180812;8;10;7;37;54
775;3;180118;4;18;20;50;88
776;3;181014;1;6;6;32;44
777;3;180418;3;20;14;53;87
778;3;181015;1;16;17;13;46
779;3;180613;5;12;20;29;61
780;3;151410;2;18;13;54;85
781;3;180714;3;5;6;58;69
782;3;180813;8;11;19;5;35
783;3;180317;11;16;7;9;32
784;3;170917;9;12;18;32;62
785;3;180512;4;13;20;55;88
786;3;151312;6;17;13;55;85
787;3;170918;9;9;9;34;52
788;3;180216;5;5;8;55;68
789;3;151411;2;11;7;45;63
790;3;151511;6;11;15;23;49
791;3;180419;3;12;13;12;37
792;3;151512;6;20;15;39;74
793;3;180614;5;19;6;9;34
794;3;180715;3;9;13;36;58
795;3;180513;4;7;18;34;59
796;3;151313;6;18;17;41;76
797;3;180615;5;13;9;44;66
798;3;180716;3;17;11;51;79
799;3;180814;8;12;14;8;34
800;3;180318;11;13;19;46;78
801;3;180616;5;14;15;15;44
802;3;181016;1;13;13;51;77
803;3;180119;4;16;16;14;46
804;3;151412;2;8;20;58;86
805;3;180420;3;9;12;26;47
806;3;180319;11;14;10;5;29
807;3;180717;3;13;6;36;55
808;3;151413;2;14;16;8;38
809;3;180815;8;6;8;27;41
810;3;151513;6;18;17;23;58
811;3;181017;1;16;12;34;62
812;3;181018;1;17;20;58;95
813;3;151514;6;7;12;28;47
814;3;180120;4;10;14;12;36
815;3;180617;5;14;17;13;44
816;3;180718;3;12;20;53;85
817;3;180816;8;10;7;33;50
818;3;180514;4;14;14;28;56
819;3;180421;3;8;14;52;74
820;3;180618;5;11;10;39;60
