wage	educ	exper
4,50	14,00	5,00
3,35	14,00	5,00
2,91	11,00	2,00
5,25	10,00	44,00
4,05	8,00	44,00
3,75	14,00	13,00
3,40	12,00	26,00
3,00	10,00	2,00
6,29	17,00	10,00
2,54	9,00	2,00
4,50	12,00	35,00
3,13	12,00	6,00
6,36	14,00	8,00
4,68	16,00	1,00
6,80	12,00	14,00
8,53	10,00	14,00
4,17	0,00	22,00
3,75	14,00	8,00
11,10	15,00	1,00
3,26	16,00	15,00
9,13	12,00	14,00
4,50	11,00	37,00
3,00	11,00	1,00
8,75	12,00	4,00
4,14	13,00	29,00
2,87	12,00	45,00
3,35	13,00	22,00
6,08	16,00	42,00
3,00	15,00	9,00
4,20	16,00	8,00
5,60	15,00	31,00
10,00	12,00	24,00
12,50	18,00	16,00
3,76	6,00	6,00
3,10	6,00	14,00
4,29	12,00	47,00
10,92	12,00	34,00
7,50	16,00	6,00
4,05	9,00	7,00
4,65	12,00	27,00
5,00	11,00	24,00
2,90	10,00	18,00
8,00	12,00	12,00
8,43	8,00	27,00
2,92	9,00	49,00
6,25	17,00	4,00
6,25	16,00	24,00
5,11	11,00	3,00
4,00	10,00	2,00
4,44	8,00	29,00
6,88	13,00	34,00
5,43	14,00	10,00
3,00	13,00	5,00
2,90	11,00	2,00
6,25	7,00	39,00
4,34	16,00	5,00
3,25	12,00	14,00
7,26	13,00	8,00
6,35	14,00	10,00
5,63	16,00	2,00
8,75	14,00	9,00
3,20	11,00	1,00
3,00	8,00	45,00
3,00	14,00	33,00
12,50	17,00	21,00
2,88	10,00	2,00
3,35	12,00	9,00
6,50	12,00	33,00
10,38	18,00	16,00
4,50	14,00	10,00
10,00	18,00	9,00
3,81	12,00	8,00
8,80	16,00	9,00
9,42	14,00	23,00
6,33	12,00	23,00
4,00	9,00	22,00
2,90	12,00	37,00
20,00	12,00	22,00
11,25	17,00	28,00
3,50	12,00	14,00
6,00	15,00	19,00
14,38	17,00	10,00
6,36	16,00	25,00
3,55	12,00	21,00
3,00	15,00	32,00
4,50	16,00	21,00
6,63	12,00	36,00
9,30	15,00	2,00
3,00	12,00	11,00
3,25	12,00	40,00
1,50	12,00	11,00
5,90	12,00	9,00
8,00	16,00	23,00
2,90	11,00	1,00
3,29	14,00	30,00
6,50	14,00	41,00
4,00	13,00	6,00
6,00	14,00	11,00
4,08	12,00	43,00
3,75	12,00	39,00
3,05	8,00	50,00
3,50	12,00	26,00
2,92	3,00	51,00
4,50	11,00	3,00
3,35	15,00	3,00
5,95	11,00	15,00
8,00	12,00	17,00
3,00	4,00	36,00
5,00	9,00	31,00
5,50	12,00	9,00
2,65	12,00	42,00
3,00	11,00	3,00
4,50	12,00	37,00
17,50	16,00	23,00
8,18	13,00	21,00
9,09	15,00	11,00
11,82	16,00	35,00
3,25	12,00	42,00
4,50	12,00	3,00
4,50	12,00	13,00
3,71	9,00	14,00
6,50	10,00	14,00
2,90	12,00	39,00
5,60	11,00	11,00
2,23	8,00	28,00
5,00	6,00	18,00
8,33	16,00	6,00
2,90	12,00	26,00
6,25	12,00	21,00
4,55	16,00	34,00
3,28	12,00	17,00
2,30	10,00	2,00
3,30	13,00	5,00
3,15	13,00	1,00
12,50	14,00	40,00
5,15	16,00	39,00
3,13	10,00	1,00
7,25	12,00	14,00
2,90	12,00	2,00
1,75	11,00	2,00
2,89	0,00	42,00
2,90	5,00	34,00
17,71	16,00	10,00
6,25	16,00	4,00
2,60	9,00	4,00
6,63	15,00	21,00
3,50	12,00	31,00
6,50	12,00	20,00
3,00	12,00	36,00
4,38	13,00	7,00
10,00	12,00	15,00
4,95	7,00	25,00
9,00	17,00	7,00
1,43	12,00	17,00
3,08	12,00	3,00
9,33	14,00	12,00
7,50	12,00	18,00
4,75	13,00	47,00
5,65	12,00	2,00
15,00	16,00	14,00
2,27	10,00	2,00
4,67	15,00	13,00
11,56	16,00	5,00
3,50	14,00	5,00
