Категория;ВидПродукции;2014;2015;2016;2017
Трикотажные изделия;Костюм трикотажный для детей ясельного возраста;676,08;781,57;851,22;877,25
Трикотажные изделия;Трикотажный головной убор мужской;500,25;555,8;583,04;621,89
Трикотажные изделия;Трикотажный головной убор женский;683,51;746,41;772,12;821,79
Трикотажные изделия;Трикотажная шапочка детская;405,06;449,08;476,19;498,03
Трикотажные изделия;Перчатки трикотажные женские;233,25;264,06;304,91;321,71
Трикотажные изделия;Майка, футболка мужская бельевая;213,46;254,38;290,2;298,46
Трикотажные изделия;Трусы мужские из хлопчатобумажного трикотажного полотна;180,62;208,48;234,56;240,52
Трикотажные изделия;Майка, футболка женская бельевая;281,13;312,3;329,28;340,41
Трикотажные изделия;Панталоны, трусы женские;159,66;190,45;201,83;210,47
Трикотажные изделия;Футболка детская;254,38;299,51;324,21;340,78
Трикотажные изделия;Трусы детские;82,37;98,52;111,39;118,57
Чулочно-носочные изделия;Носки мужские;63,94;72,28;78,24;80,07
Чулочно-носочные изделия;Колготки женские эластичные плотностью 15-20 DEN;133,39;154,82;167,44;171,28
Чулочно-носочные изделия;Колготки женские эластичные плотностью свыше 20 DEN;185,34;208,35;221,21;223,94
Чулочно-носочные изделия;Колготки детские;142,22;167;189,5;200,57
Чулочно-носочные изделия;Носки, гольфы детские;53,12;62,06;68,05;70,5
Обувь кожаная, текстильная и комбинированная;Сапоги, ботинки мужские зимние с верхом из натуральной кожи, за пару;3661,77;4255,46;4643,82;4912,85
Обувь кожаная, текстильная и комбинированная;Полуботинки, туфли мужские с верхом из натуральной кожи, за пару;2818,99;3344,92;3708,35;3900,82
Обувь кожаная, текстильная и комбинированная;Полуботинки мужские с верхом из искусственной кожи, за пару;1260,03;1540,91;1758,14;1884,24
Обувь кожаная, текстильная и комбинированная;Сапоги женские зимние с верхом из натуральной кожи, за пару;5327,88;6272,06;6923,5;7271,08
Обувь кожаная, текстильная и комбинированная;Сапоги женские осенние с верхом из натуральной кожи, за пару;4415,57;5273,41;5831,88;6171,69
Обувь кожаная, текстильная и комбинированная;Туфли женские закрытые с верхом из натуральной кожи, за пару;2657,61;3178,24;3576,54;3741,91
Обувь кожаная, текстильная и комбинированная;Туфли женские закрытые с верхом из искусственной кожи, за пару;1132,1;1368,38;1545,35;1676,8
Обувь кожаная, текстильная и комбинированная;Туфли женские летние, босоножки с верхом из искусственной кожи, за пару;1025,15;1190,19;1338,28;1432,97
Обувь кожаная, текстильная и комбинированная;Туфли женские модельные с верхом из натуральной кожи, за пару;3092,5;3600,24;3970,59;4166,36
Обувь кожаная, текстильная и комбинированная;Сапоги, ботинки для детей школьного возраста зимние с верхом из натуральной кожи, за пару;2323,02;2646,69;2946,24;3078,06
Обувь кожаная, текстильная и комбинированная;Ботинки, полуботинки для детей школьного возраста, за пару;1374;1655,77;1911,49;2012,43
Обувь кожаная, текстильная и комбинированная;Ботинки, полуботинки для детей дошкольного возраста, за пару;1263,56;1503,9;1719,59;1839,82
Обувь кожаная, текстильная и комбинированная;Туфли детские летние (сандалеты), за пару;872,47;1023,75;1153,43;1228,64
Обувь кожаная, текстильная и комбинированная;Кроссовые туфли для детей с верхом из искусственной кожи, за пару;875,93;1042,78;1207,44;1303,99
Обувь кожаная, текстильная и комбинированная;Обувь домашняя с текстильным верхом для взрослых, за пару;307,75;354,7;384,6;395,19
Обувь кожаная, текстильная и комбинированная;Обувь домашняя с текстильным верхом для детей, за пару;260,4;305,11;320,09;332,48
Обувь кожаная, текстильная и комбинированная;Кроссовые туфли для взрослых с верхом из искусственной кожи, за пару;1269,8;1533,76;1709,27;1805,8
Обувь кожаная, текстильная и комбинированная;Кроссовые туфли для взрослых с верхом из натуральной кожи, за пару;2815,17;3196,57;3556,76;3777,45
Обувь резиновая;Сапоги цельнорезиновые для детей, за пару;549,38;624,92;680,43;721,94
Обувь резиновая;Сапоги цельнорезиновые для взрослых, за пару;588,58;680,75;730,97;750,75
Моющие и чистящие средства;Мыло хозяйственное, за 200 г;20,34;24,34;26,28;27,38
Моющие и чистящие средства;Порошок стиральный, за кг;117,61;140,63;143,63;141,76
Моющие и чистящие средства;Жидкие чистящие и моющие средства, за л;129,75;162,79;171,2;170,93
Моющие и чистящие средства;Мыло туалетное, за 100 г;22,47;27,61;30,35;31,62
Парфюмерно-косметические товары;Туалетная вода, за 100 мл;1181,21;1453,11;1631,48;1716,89
Парфюмерно-косметические товары;Шампунь, за 250 мл;104,73;125,66;132,74;132,97
Парфюмерно-косметические товары;Крем для лица, за 100 г (100 мл);290,37;337,56;352,93;364,61
Парфюмерно-косметические товары;Тушь для ресниц;344,7;387,47;435,18;454,28
Парфюмерно-косметические товары;Паста зубная, за 100 г (100 мл);58,05;75,05;83,65;86,09
Галантерея;Бюстгальтер;607,81;727,05;793,76;839,82
Галантерея;Сумка женская с верхом из натуральной кожи;5055,92;5630,88;5980,99;6130,25
Галантерея;Сумка женская с верхом из искусственной кожи ;1704,17;1956,26;2133,32;2226,26
Галантерея;Ранец, рюкзак для школьников;1263,52;1495,81;1667,5;1838,29
Галантерея;Коляска для новорожденного;11296,51;13533,31;14146,2;14861,83
Галантерея;Зонт;731,88;856,78;936,42;987,51
Галантерея;Тюль, полотно гардинное, за м;346,46;418,64;445,42;465,14
Галантерея;Перчатки из натуральной кожи, за пару;1262,93;1467,19;1698,08;1841,83
Галантерея;Щетка зубная;49,09;61,67;69,65;71,73
Нитки;Нитки швейные, за катушку;16,1;21,4;24,05;24,98
Табачные изделия;Сигареты с фильтром отечественные, за пачку;48,69;63,13;74,89;80,46
Табачные изделия;Сигареты с фильтром зарубежных торговых марок, за пачку;72,47;87,63;104,18;115,89
Спички;Спички, за коробок;1,15;1,23;1,26;1,25
Мебель;Шкаф для платья и белья;14661,8;15700,21;15769,41;16171,36
Мебель;Стол обеденный;5503,86;6347,58;6321,79;6578,98
Мебель;Диван-кровать;19004,73;21478,79;21911,17;22334,61
Мебель;Шкаф-вешалка для прихожей;10120,42;11564,41;11147,46;11424,52
Мебель;Шкаф навесной кухонный (полка), двухстворчатый;2919,95;3243,13;3252,98;3322,13
Мебель;Стол рабочий кухонный;4036,45;4440,39;4548,51;4551,17
Мебель;Стул с мягким сиденьем;2511,04;2921,23;3109,74;3177,88
Мебель;Табурет для кухни;678,99;759,28;770,41;791,02
Мебель;Зеркало навесное для ванной комнаты;924,87;1008,95;1026,53;1040,71
Мебель;Набор корпусной мебели, за комплект;35087,73;37256,35;35440,68;36446,98
Мебель;Набор мягкой мебели, за комплект;35994,55;40159,08;40380,07;41834,37
Ковры и ковровые изделия;Ковер шерстяной, полушерстяной, за м2;2582,96;3433,02;3566,54;3884,02
Ковры и ковровые изделия;Ковер, ковровое покрытие (палас) синтетический, за м2;722,28;891,32;872,6;891,54
Металлическая посуда и металлические предметы домашнего обихода;Кастрюля из эмалированной или нержавеющей стали;554,87;652;703,81;727,25
Металлическая посуда и металлические предметы домашнего обихода;Чайник стальной эмалированный;669,9;771,77;817,35;874,09
Металлическая посуда и металлические предметы домашнего обихода;Сковорода с антипригарным покрытием;996,53;1195,33;1309,86;1362,71
Металлическая посуда и металлические предметы домашнего обихода;Комплект столовых приборов из нержавеющей стали, за комплект;189,29;216;241,27;262,18
Стеклянная посуда;Рюмка, фужер из простого стекла;68,72;77,72;82,87;84,56
Фарфорово-фаянсовая посуда;Тарелка обеденная мелкая или глубокая;65,87;76,64;85,24;91,53
Фарфорово-фаянсовая посуда;Чашка чайная с блюдцем, за комплект;138,58;164,03;198,26;207,84
Часы;Часы будильник ;481,03;548,41;617,73;625,63
Часы;Часы наручные;1350,41;1626,86;1732,81;1794,34
Электротовары и другие бытовые приборы;Холодильник двухкамерный, емкостью 250-350 л;24000,09;27823,67;28678,44;28110,33
Электротовары и другие бытовые приборы;Машина стиральная автоматическая;18618,35;22085,59;22927,49;22787,97
Электротовары и другие бытовые приборы;Электропылесос напольный;5140,87;6189,7;6461,5;6733,06
Электротовары и другие бытовые приборы;Печь микроволновая;5157,27;6168,34;6612,79;6544,85
Электротовары и другие бытовые приборы;Плита бытовая;15077,74;17787,84;18327,86;18588,49
Электротовары и другие бытовые приборы;Машина швейная;7762,19;9910,5;10700,73;11082,36
Электротовары и другие бытовые приборы;Электрочайник;1891,96;2218,94;2353,34;2342,93
Электротовары и другие бытовые приборы;Миксер, блендер;1822,39;2225,98;2495,33;2469,07
Электротовары и другие бытовые приборы;Электроутюг с терморегулятором, пароувлажнителем;2372,93;2863,45;3070,72;3083,28
Электротовары и другие бытовые приборы;Светильник потолочный;822,97;973,83;1083,76;1148,81
Электротовары и другие бытовые приборы;Лампа электрическая осветительная;16,27;21,98;23,33;23,2
Электротовары и другие бытовые приборы;Лампа энергосберегающая;147,17;172,06;179,71;172,8
Электротовары и другие бытовые приборы;Батарейки электрические типа АА;26,16;34,44;41,27;43,73
Инструменты и оборудование;Дрель электрическая;2844,68;3525,31;3774,82;3717,51
Инструменты и оборудование;Триммер электрический;3449,84;4583,44;5167,03;5056,31
Бумажно-беловые товары;Тетрадь школьная;4,98;5,66;6,3;6,54
Бумажно-беловые товары;Альбом для рисования;59,61;67,03;74,95;78,16
Бумажно-беловые товары;Бумага туалетная, за рулон;9,79;11,72;12,25;12,82
Бумажно-беловые товары;Прокладки женские гигиенические ежедневные, за 10 шт.;22,44;28,06;28,24;27,55
Бумажно-беловые товары;Подгузники детские бумажные (памперсы), за 10 шт.;129,84;159,3;162,81;162,71
Школьно-письменные принадлежности и канцелярские товары;Авторучка шариковая;9,55;13,13;15,39;16,03
Школьно-письменные принадлежности и канцелярские товары;Карандаш чернографитный;8,82;11,59;13,16;14,03
Школьно-письменные принадлежности и канцелярские товары;Набор фломастеров, за набор;83,78;111,92;129,48;134,15
Печатные издания;Ежедневная газета в розницу;14;15,4;16,23;16,51
Печатные издания;Еженедельная газета в розницу;19,73;21,93;23,94;25,36
Печатные издания;Книга детективно-приключенческого жанра;257,53;276,47;296,98;312,18
Печатные издания;Учебник, учебное пособие, дидактический материал для общеобразовательной школы;288,33;339,6;381,38;406,83
Велосипеды и мотоциклы;Велосипед дорожный для взрослых;7412,22;9516,18;9948,55;10975,67
Велосипеды и мотоциклы;Велосипед для дошкольников;3735,66;5052,7;5587,77;5589,37
Велосипеды и мотоциклы;Мотоцикл без коляски, скутер;48112,92;54948,45;55082,09;56766,76
Телерадиотовары;Телевизор цветного изображения;19047,78;22529,29;22999,51;22570,8
Телерадиотовары;DVD-диск с записью;180,05;191,33;194,29;188,19
Телерадиотовары;Флеш-накопитель USB;505,15;583;632,51;702,52
Персональные компьютеры;Монитор для настольного компьютера;6989,51;8512,93;8642,87;8231,47
Персональные компьютеры;Компьютер переносной персональный (ноутбук);25393,67;27471,77;28072,72;27666,52
Персональные компьютеры;Планшетный компьютер;10783,62;11729,49;11809,9;11420,14
Средства связи;Телефонный аппарат сотовой связи в комплекте;4241,28;4211;3753,36;3568,84
Средства связи;Телефонный аппарат стационарный;848,55;1113,32;1339,66;1470,28
Средства связи;Смартфон;8534,97;9369,31;9306,35;8973,57
Игрушки;Игрушки пластмассовые для детей ясельного возраста;178,52;211,16;226,17;242,91
Игрушки;Игрушки мягкие;396,21;455,34;500,26;524,19
Игрушки;Конструктор детский пластмассовый, за набор;531,19;626,63;684,57;709,67
Прочие культтовары;Фотоаппарат;5307,37;6184,19;6983,47;7202,78
Товары для физической культуры, спорта и туризма;Мяч футбольный;825,1;929,51;969,55;1021,84
Товары для физической культуры, спорта и туризма;Коньки роликовые, за пару;2478,17;2845,95;3035,59;3104,76
Строительные материалы;Доска обрезная, за м3;7112,95;7319,95;7457;8182,21
Строительные материалы;Плиты древесностружечные, за м3;189,72;189,93;188,31;201,09
Строительные материалы;Цемент тарированный, за 50 кг;271,99;274,09;292,94;301,65
Строительные материалы;Еврошифер1), за 10 м2;1425,95;1494,21;1535,18;2717,7 
Строительные материалы;Стекло оконное листовое, за м2;387,04;399,81;456,43;502,49
Строительные материалы;Кирпич красный, за 1000 шт.;12458,63;13157,38;12763,89;12708,44
Строительные материалы;Рубероид, за 10 м;257,14;268,09;268,8;264,77
Строительные материалы;Металлочерепица, за м2;282,62;318,93;343,31;342,19
Строительные материалы;Ламинат, за м2;580,45;669,35;695,92;715,36
Строительные материалы;Линолеум, за м2;409,58;474,68;507,99;506,83
Строительные материалы;Плитка керамическая, облицовочная для внутренних работ, за м2;499,96;546,44;554,4;573,61
Строительные материалы;Краски масляные, эмали отечественные, за кг;149,72;162,78;171,75;177,38
Строительные материалы;Обои бумажные, за 10 м;147,16;178,26;190,13;197,26
Строительные материалы;Обои виниловые, за 10 м;400,72;463,32;490,11;507,75
Строительные материалы;Мойка из нержавеющей стали для кухни;1839,55;2203,17;2312,62;2298,34
Ювелирные изделия;Кольцо обручальное, за грамм;2307,75;2890,42;3158,8;3132,6
Легковые автомобили;Легковой автомобиль отечественный новый;343534,59;432072,22;451801,6;475413,29
Легковые автомобили;Легковой автомобиль импортный новый;869431,48;1005709,94;1098004,38;1166061,23
Легковые автомобили;Легковой автомобиль иностранной марки, собранный на автомобильном заводе на территории России;606116,54;689063,68;750474,57;780158,86
Легковые автомобили;Легковой автомобиль импортный подержанный;499254,26;521915,98;544064,17;561778,58
Легковые автомобили;Шины для легкового автомобиля;2293,68;2467,57;2558,23;2669,85
Топливо моторное;Газовое моторное топливо, за л;17,75;17,75;19,3;18,11
Топливо моторное;Дизельное топливо, за л;34,44;35,56;36,66;40,24
Топливо моторное;Бензин автомобильный марки А-76 (АИ-80), за л;30,41;32,23;33,59;35,22
Топливо моторное;Бензин автомобильный марки АИ-92 (АИ-93 и т.п.), за л;32,44;34,04;35,28;37,95
Топливо моторное;Бензин автомобильный марки АИ-95 и выше, за л;35,21;36,91;38,34;41,01
Медицинские товары;Корригирующие очки;766,05;983,09;1042,06;1026,15
Медицинские товары;Термометр медицинский ртутный;38,55;71,72;68,98;65,43
Медицинские товары;Аппарат для измерения артериального давления электронный;1585,04;2199,85;2395,29;2330,06
Медицинские товары;Стрепсилс, таблетки для рассасывания, за 10 таблеток;70,95;83,01;84,1;82,64
Медицинские товары;Метамизол натрия (Анальгин отечественный), 500 мг, за 10 таблеток;6,59;10,75;13,06;12,33
Медицинские товары;Комбинированные анальгетики, за 10 таблеток;108,31;115,24;116,38;113,8
Медицинские товары;Нимесулид, 100 мг, за 10 таблеток;80,1;99,47;95,78;92,32
Медицинские товары;Кетопрофен, 2,5% гель, за 30 г;144,86;174,55;175,91;176,73
Медицинские товары;Ацетилсалициловая кислота (Аспирин отечественный), 500 мг, за 10 таблеток;3,91;6,07;6,43;6,04
Медицинские товары;Колдрекс, порошок 5 г, за 10 пакетов;276,01;305,6;312,3;306,24
Медицинские товары;Троксерутин, 2% гель, за 40 г;77,68;104,54;100,02;102,85
Медицинские товары;Флуоцинолона ацетонид, 0,025% мазь, за 15 г;96,64;117,01;126,49;128,57
Медицинские товары;Супрастин, 25 мг, за 10 таблеток;64,31;64,11;62,71;61,82
Медицинские товары;Диазолин, 100 мг, за 10 драже;58,78;71,94;78,14;79,05
Медицинские товары;Корвалол, за 25 мл;11,23;15,31;17,97;17,59
Медицинские товары;Валокордин, за 20 мл;87,29;140,56;141,01;141,62
Медицинские товары;Настойка пустырника, за 25 мл;11,52;13,54;16,29;16,6
Медицинские товары;Глицин, 100 мг, за 50 таблеток;30,85;33,58;32,57;32,08
Медицинские товары;Винпоцетин, 5 мг, за 10 таблеток;19,09;22,7;24,68;25,64
Медицинские товары;Амоксициллин, 500 мг, за 10 таблеток;53,68;62,1;62,44;59,69
Медицинские товары;Левомеколь, мазь, за 40 г;93,39;133,06;126,34;122,76
Медицинские товары;Сульфацетамид, 20%, за 5 мл;55,93;72,32;70,27;49,5
Медицинские товары;Гепарин натрия 1000 МЕ/г, гель, за 50 г;359,13;414,26;421,58;435,99
Медицинские товары;Нитроглицерин, 0,5 мг, за 10 таблеток;11,38;11,85;12,86;13,15
Медицинские товары;Валидол, 60 мг, за 10 таблеток;22,64;32,04;32,57;19,03
Медицинские товары;Бисопролол, 10 мг, за 10 таблеток;71,33;72,38;72,16;66,41
Медицинские товары;Эналаприл, 5 мг, за 10 таблеток;24,87;25,64;25,18;24,95
Медицинские товары;Панкреатин, за 10 таблеток;14,81;17,93;18,24;17,65
Медицинские товары;Дротаверин (Но-шпа), 40 мг, за 100 таблеток;216,39;221,7;225,26;215,72
Медицинские товары;Эссенциале форте Н, 300 мг, за 10 капсул;173,23;213,35;229,29;227,23
Медицинские товары;Аллохол, за 50 таблеток;56,65;71,06;64,79;58,57
Медицинские товары;Лоперамид, 2 мг, за 10 капсул (таблеток);41,34;49,15;54,53;56,12
Медицинские товары;Алмагель, суспензия, за 200 мл;192,71;233,57;253,47;264,69
Медицинские товары;Ренни, за 12 таблеток;120,12;136,83;159,86;168,36
Медицинские товары;Смекта, порошок 3 г, за 10 пакетов;134,52;148,2;154,46;148,4
Медицинские товары;Сеннозиды А и B, за 10 таблеток;12,81;12,78;12,72;12,16
Медицинские товары;Линекс, за 10 капсул;176,6;203,91;171,84;177,93
Медицинские товары;Индапамид, 2,5 мг, за 10 таблеток;19,59;22,96;21,64;22,77
Медицинские товары;Гипотиазид, 25 мг, за 10 таблеток;48,21;49,42;49,01;48,71
Медицинские товары;Верошпирон, 100 мг, за 10 капсул;88,89;89,19;88,4;90,77
Медицинские товары;Офтан Катахром, за 10 мл;213,01;320,28;360,3;350,94
Медицинские товары;Таурин, 4%, за 5 мл;18,22;25,24;27,6;25,97
Медицинские товары;Амброксол, 30 мг, за 10 таблеток;46,41;46,79;45,95;46,74
Медицинские товары;Бромгексин, 8 мг, за 10 драже;31,71;37,93;42,3;41,93
Медицинские товары;Ксилометазолин (Галазолин) 0,1%, за 10 мл;36,36;36,52;39,36;38,47
Медицинские товары;Йод, за 10 мл;11,57;12,22;12,65;13,35
Медицинские товары;Поливитамины без минералов отечественные, за 10 шт.;9,04;9,99;10,94;10,18
Медицинские товары;Поливитамины с макро- и микроэлементами, за 10 шт.;45,66;51,92;59,5;62,89
Медицинские товары;Бинт;10,67;12,6;13,65;14,54
Медицинские товары;Вата отечественная, за 100 г;34,74;39,88;43,74;45,12
Топливо;Уголь, за т;2213,71;2759,95;3069,79;3109,03
Топливо;Дрова, за м3;846,46;907,66;977,41;1102,62
Садоводство;Свежесрезанные цветы;77,21;93,44;95,04;95,25
Садоводство;Земля для растений, за л;11,65;13,09;13,07;13,14
Садоводство;Лопата садовая;204,5;212,95;222,85;224,73
Товары для животных;Сухие корма для домашних животных, за кг;130,79;150,52;166,31;178,58
Мясопродукты;Говядина (кроме бескостного мяса);272,28;314,94;315,02;320,34
Мясопродукты;Говядина бескостная;400,23;456,11;455,26;461,24
Мясопродукты;Свинина (кроме бескостного мяса);272,36;271,08;264,32;255,87
Мясопродукты;Свинина бескостная;358,64;359,4;351,26;343,94
Мясопродукты;Баранина (кроме бескостного мяса);306,58;340,52;345,2;344,23
Мясопродукты;Куры охлажденные и мороженые;136,14;133,73;138,49;126,29
Мясопродукты;Окорочка куриные;154,58;156,09;158,69;152,62
Мясопродукты;Печень говяжья;203,64;230,37;238,29;241,62
Мясопродукты;Фарш мясной;283,28;317,24;319,55;324,54
Мясопродукты;Пельмени, манты, равиоли;200,37;232,21;237,82;245,19
Мясопродукты;Сосиски, сардельки;294,02;325,75;333,63;338,69
Мясопродукты;Колбаса полукопченая и варено-копченая;370,83;413,93;427,28;439,13
Мясопродукты;Колбаса сырокопченая;805,9;898,41;917,69;927,15
Мясопродукты;Колбаса вареная;310,54;344,81;351,27;360,88
Мясопродукты;Мясокопчености;510,22;561,89;571,73;578,99
Мясопродукты;Кулинарные изделия из птицы;241,78;258,91;265,69;268,91
Мясопродукты;Консервы мясные;94,42;117,04;121,37;125,21
Рыбопродукты;Рыба живая и охлажденная;144,3;177,68;185,55;175,8
Рыбопродукты;Рыба соленая, маринованная, копченая;292,21;352,58;382,54;388,83
Рыбопродукты;Соленые и копченые деликатесные продукты из рыбы;1111,7;1326,26;1482,53;1548,4
Рыбопродукты;Икра лососевых рыб, отечественная;2836,29;3014,48;3225,45;3898,43
Рыбопродукты;Рыба мороженая разделанная (кроме лососевых пород);154,29;190,92;195,14;195,37
Рыбопродукты;Рыба охлажденная и мороженая разделанная лососевых пород;445,29;529,26;601,71;651,09
Рыбопродукты;Рыба мороженая неразделанная;110,65;138,16;147,68;153,03
Рыбопродукты;Филе рыбное;224,38;280,61;294;299,1
Рыбопродукты;Сельдь соленая;133,3;193,41;205,72;200,64
Рыбопродукты;Филе сельди соленое;275,14;360,91;387,57;382,37
Рыбопродукты;Консервы рыбные натуральные и с добавлением масла, за 350 г;70,12;91,94;103,94;109,09
Рыбопродукты;Консервы рыбные в томатном соусе, за 350 г;47,94;59,22;63,81;65,88
Рыбопродукты;Пресервы рыбные, за 350 г;109,44;136,9;149,14;156,2
Масла и жиры;Масло сливочное;357,54;397,75;477,13;528,83
Масла и жиры;Масло подсолнечное;78,09;107,62;110,1;100,16
Масла и жиры;Масло оливковое, за л;615,26;859,79;967,21;977,57
Масла и жиры;Маргарин;87,72;115,54;124,65;125,85
Молоко и молочная продукция;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, за л;43,81;47,61;51,44;53,45
Молоко и молочная продукция;Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, за л;59,66;64,46;70,58;73,8
Молоко и молочная продукция;Сметана;156,12;173,83;186,37;195,53
Молоко и молочная продукция;Кисломолочные продукты;56,68;62,25;67,2;70,77
Молоко и молочная продукция;Йогурт, за 125 г;16,65;19,57;21,88;22,96
Молоко и молочная продукция;Творог жирный;246,31;274,31;295,76;309,03
Молоко и молочная продукция;Творог нежирный;231,66;259,44;279,48;291,6
Молоко и молочная продукция;Сырки творожные, глазированные шоколадом, за 50 г;14,22;17,54;19,95;21,98
Молоко и молочная продукция;Молоко сгущенное с сахаром, за 400 г;59,26;71,42;78,27;80,09
Молоко и молочная продукция;Смеси сухие молочные для детского питания;667,06;791,2;839,84;863,01
Сыр;Сыры сычужные твердые и мягкие;388,81;418,61;461,71;478,88
Сыр;Сыры плавленые;236,92;278,81;298,39;322,46
Сыр;Национальные сыры и брынза;327,3;386,8;416,15;421,99
Консервы овощные;Овощи натуральные консервированные, маринованные;111,84;143,98;148,83;150,47
Консервы овощные;Консервы овощные для детского питания;344,72;414,73;445,53;456,75
Консервы овощные;Консервы томатные;130,44;167,3;178,07;181,78
Консервы фруктово-ягодные;Соки фруктовые, за л;61,98;72,23;82,14;83,71
Консервы фруктово-ягодные;Консервы фруктово-ягодные для детского питания;280,83;343,21;365,41;369,35
Яйца;Яйца куриные, за 10 шт.;58,76;65,02;64,17;54,63
Сахар;Сахар-песок;44,97;52,14;48,78;36,75
Кондитерские изделия;Зефир, пастила;193,72;237,38;251,61;253,62
Кондитерские изделия;Карамель;150,26;199,64;215,86;216,53
